feature,count0@False,count1@False,count0@True,count1@True
the,101,7023,28,2270
of,140,6984,68,2230
and,369,6755,120,2178
to,497,6627,164,2134
in,591,6533,238,2060
we,1462,5662,132,2166
for,1492,5632,489,1809
this,1549,5575,691,1607
is,1553,5571,599,1699
that,1862,5262,403,1895
on,2248,4876,583,1715
with,2842,4282,857,1441
are,3184,3940,1136,1162
as,3342,3782,1119,1179
an,3362,3762,1187,1111
by,3399,3725,1076,1222
paper,3785,3339,1483,815
which,4009,3115,1241,1057
be,4011,3113,1380,918
from,4064,3060,1335,963
can,4168,2956,1256,1042
based,4338,2786,1498,800
our,4369,2755,1083,1215
it,4660,2464,1568,730
learning,4821,2303,1297,1001
data,4924,2200,1544,754
show,4945,2179,1360,938
using,4961,2163,1668,630
results,4982,2142,1587,711
model,4983,2141,1402,896
such,5129,1995,1686,612
or,5150,1974,1713,585
these,5260,1864,1738,560
have,5273,1851,1782,516
has,5286,1838,1775,523
problem,5305,1819,1625,673
approach,5326,1798,1706,592
also,5378,1746,1743,555
propose,5430,1694,1552,746
used,5439,1685,1944,354
not,5489,1635,1837,461
two,5561,1563,1822,476
proposed,5574,1550,1864,434
new,5624,1500,1740,558
performance,5626,1498,1691,607
algorithm,5648,1476,1699,599
more,5664,1460,1837,461
models,5675,1449,1577,721
method,5678,1446,1789,509
present,5709,1415,1828,470
information,5716,1408,1979,319
use,5741,1383,1885,413
been,5747,1377,1973,325
one,5761,1363,1922,376
different,5762,1362,1950,348
methods,5769,1355,1751,547
their,5791,1333,1956,342
time,5801,1323,1929,369
network,5820,1304,1872,426
state,5836,1288,1650,648
between,5843,1281,1908,390
neural,5868,1256,1666,632
work,5877,1247,1883,415
its,5886,1238,1924,374
both,5894,1230,1796,502
at,5900,1224,1900,398
system,5918,1206,2093,205
however,5919,1205,1919,379
set,5927,1197,1979,319
algorithms,5942,1182,1863,435
into,5948,1176,1986,312
networks,5974,1150,1856,442
first,5991,1133,1949,349
other,6010,1114,2018,280
well,6014,1110,1900,398
each,6019,1105,1930,368
large,6020,1104,1863,435
than,6033,1091,1866,432
many,6034,1090,1940,358
task,6039,1085,1867,431
but,6059,1065,1915,383
when,6074,1050,1919,379
language,6086,1038,1982,316
over,6096,1028,1816,482
number,6116,1008,1953,345
machine,6117,1007,1979,319
where,6121,1003,1880,418
some,6124,1000,2091,207
art,6140,984,1734,564
most,6140,984,2029,269
only,6141,983,1924,374
then,6148,976,2039,259
experiments,6152,972,1892,406
systems,6154,970,2123,175
problems,6156,968,1939,359
analysis,6163,961,1985,313
training,6164,960,1829,469
how,6168,956,2035,263
all,6194,930,2022,276
framework,6199,925,1980,318
while,6205,919,1918,380
novel,6210,914,1880,418
several,6213,911,1987,311
classification,6220,904,2024,274
knowledge,6231,893,2085,213
real,6234,890,2011,287
features,6248,876,2047,251
study,6265,859,2056,242
