feature,count0@False,count1@False,count0@True,count1@True,ratio10False,ratio1TF
ancestries,7124,0,2297,1,0.0,inf
obeys,7124,0,2297,1,0.0,inf
orf,7124,0,2297,1,0.0,inf
692,7124,0,2297,1,0.0,inf
acquaintances,7124,0,2297,1,0.0,inf
cooperated,7124,0,2297,1,0.0,inf
ultradense,7124,0,2297,1,0.0,inf
hampers,7124,0,2297,1,0.0,inf
noncontiguous,7124,0,2297,1,0.0,inf
67f,7124,0,2297,1,0.0,inf
ncuts,7124,0,2297,1,0.0,inf
handily,7124,0,2297,1,0.0,inf
ordinally,7124,0,2297,1,0.0,inf
ulary,7124,0,2297,1,0.0,inf
677,7124,0,2297,1,0.0,inf
extrinsically,7124,0,2297,1,0.0,inf
workhorse,7124,0,2295,3,0.0,inf
1973,7124,0,2297,1,0.0,inf
workhorses,7124,0,2297,1,0.0,inf
fbfft,7124,0,2297,1,0.0,inf
1969,7124,0,2297,1,0.0,inf
numerics,7124,0,2297,1,0.0,inf
fic,7124,0,2297,1,0.0,inf
3a,7124,0,2296,2,0.0,inf
accentuate,7124,0,2297,1,0.0,inf
pathogen,7124,0,2297,1,0.0,inf
unfortunatly,7124,0,2297,1,0.0,inf
unfoldings,7124,0,2297,1,0.0,inf
vassilvitskii,7124,0,2297,1,0.0,inf
75f,7124,0,2297,1,0.0,inf
acceptably,7124,0,2297,1,0.0,inf
unfavorably,7124,0,2297,1,0.0,inf
wordrank,7124,0,2297,1,0.0,inf
figment,7124,0,2297,1,0.0,inf
waned,7124,0,2297,1,0.0,inf
worldness,7124,0,2297,1,0.0,inf
venugopalan,7124,0,2297,1,0.0,inf
3s,7124,0,2297,1,0.0,inf
uinervtisy,7124,0,2297,1,0.0,inf
verbnet,7124,0,2297,1,0.0,inf
666,7124,0,2297,1,0.0,inf
waerden,7124,0,2297,1,0.0,inf
ncca,7124,0,2297,1,0.0,inf
nonconvexity,7124,0,2296,2,0.0,inf
ncbi,7124,0,2297,1,0.0,inf
uhlenbeck,7124,0,2297,1,0.0,inf
1952,7124,0,2297,1,0.0,inf
coombs,7124,0,2297,1,0.0,inf
obfuscate,7124,0,2297,1,0.0,inf
gcb,7124,0,2297,1,0.0,inf
combucb,7124,0,2297,1,0.0,inf
nonconjugate,7124,0,2297,1,0.0,inf
picked,7124,0,2297,1,0.0,inf
activates,7124,0,2297,1,0.0,inf
obj2text,7124,0,2297,1,0.0,inf
nbt,7124,0,2297,1,0.0,inf
noncrossing,7124,0,2297,1,0.0,inf
hardoon,7124,0,2297,1,0.0,inf
exacerbates,7124,0,2297,1,0.0,inf
1936,7124,0,2297,1,0.0,inf
girard,7124,0,2297,1,0.0,inf
pi_,7124,0,2296,2,0.0,inf
pi2,7124,0,2297,1,0.0,inf
fracture,7124,0,2297,1,0.0,inf
organ,7124,0,2297,1,0.0,inf
wordpiece,7124,0,2297,1,0.0,inf
p_f,7124,0,2297,1,0.0,inf
exhausted,7124,0,2297,1,0.0,inf
nltk,7124,0,2297,1,0.0,inf
oscp,7124,0,2297,1,0.0,inf
fatality,7124,0,2297,1,0.0,inf
variates,7124,0,2295,3,0.0,inf
unimodularity,7124,0,2297,1,0.0,inf
frugal,7124,0,2296,2,0.0,inf
wikitext,7124,0,2296,2,0.0,inf
fs97,7124,0,2297,1,0.0,inf
accumulations,7124,0,2297,1,0.0,inf
undistinguished,7124,0,2297,1,0.0,inf
winnows,7124,0,2297,1,0.0,inf
h_0,7124,0,2297,1,0.0,inf
1smatch,7124,0,2297,1,0.0,inf
underfit,7124,0,2297,1,0.0,inf
underexplored,7124,0,2297,1,0.0,inf
389,7124,0,2297,1,0.0,inf
conservativeness,7124,0,2297,1,0.0,inf
guerra,7124,0,2297,1,0.0,inf
1nns,7124,0,2297,1,0.0,inf
confidentmatch,7124,0,2297,1,0.0,inf
underdetermined,7124,0,2297,1,0.0,inf
h_r,7124,0,2297,1,0.0,inf
covington,7124,0,2297,1,0.0,inf
frequentist,7124,0,2297,1,0.0,inf
extraneous,7124,0,2297,1,0.0,inf
coordinator,7124,0,2297,1,0.0,inf
coordinations,7124,0,2297,1,0.0,inf
witten,7124,0,2297,1,0.0,inf
h_s,7124,0,2297,1,0.0,inf
underactuated,7124,0,2297,1,0.0,inf
714,7124,0,2297,1,0.0,inf
wittgenstein,7124,0,2297,1,0.0,inf
nurtures,7124,0,2297,1,0.0,inf
unimprovable,7124,0,2297,1,0.0,inf
p_i,7124,0,2297,1,0.0,inf
compara,7124,0,2297,1,0.0,inf
feudal,7124,0,2297,1,0.0,inf
glms,7124,0,2297,1,0.0,inf
unequally,7124,0,2297,1,0.0,inf
gently,7124,0,2297,1,0.0,inf
consent,7124,0,2297,1,0.0,inf
exgm,7124,0,2297,1,0.0,inf
noticed,7124,0,2297,1,0.0,inf
glmnet,7124,0,2297,1,0.0,inf
frommn,7124,0,2297,1,0.0,inf
osub,7124,0,2297,1,0.0,inf
ffc,7124,0,2297,1,0.0,inf
wildfire,7124,0,2297,1,0.0,inf
wiktionary,7124,0,2297,1,0.0,inf
unguided,7124,0,2297,1,0.0,inf
connotative,7124,0,2297,1,0.0,inf
guards,7124,0,2297,1,0.0,inf
wields,7124,0,2297,1,0.0,inf
exiting,7124,0,2297,1,0.0,inf
gtml,7124,0,2297,1,0.0,inf
universals,7124,0,2297,1,0.0,inf
wieting,7124,0,2296,2,0.0,inf
unitless,7124,0,2297,1,0.0,inf
2016b,7124,0,2296,2,0.0,inf
variaitonal,7124,0,2297,1,0.0,inf
acadmm,7124,0,2297,1,0.0,inf
2015b,7124,0,2297,1,0.0,inf
gumbel,7124,0,2295,3,0.0,inf
comparators,7124,0,2297,1,0.0,inf
wikiqa,7124,0,2296,2,0.0,inf
uninteresting,7124,0,2297,1,0.0,inf
wordembeddings,7124,0,2297,1,0.0,inf
glaring,7124,0,2297,1,0.0,inf
wmt11,7124,0,2297,1,0.0,inf
penalize,7124,0,2297,1,0.0,inf
fazel,7124,0,2297,1,0.0,inf
_of,7124,0,2297,1,0.0,inf
_residence,7124,0,2297,1,0.0,inf
corpuslevel,7124,0,2297,1,0.0,inf
gnr,7124,0,2297,1,0.0,inf
_t,7124,0,2297,1,0.0,inf
overfiting,7124,0,2297,1,0.0,inf
_without_,7124,0,2297,1,0.0,inf
nickel,7124,0,2297,1,0.0,inf
futures,7124,0,2297,1,0.0,inf
overestimations,7124,0,2296,2,0.0,inf
weightage,7124,0,2297,1,0.0,inf
263k,7124,0,2297,1,0.0,inf
penalizations,7124,0,2297,1,0.0,inf
untranslated,7124,0,2297,1,0.0,inf
untampered,7124,0,2297,1,0.0,inf
untrusted,7124,0,2297,1,0.0,inf
gamp,7124,0,2297,1,0.0,inf
pege,7124,0,2297,1,0.0,inf
complication,7124,0,2297,1,0.0,inf
compounded,7124,0,2296,2,0.0,inf
webqsp,7124,0,2297,1,0.0,inf
exploded,7124,0,2297,1,0.0,inf
webquestionssp,7124,0,2296,2,0.0,inf
gae,7124,0,2296,2,0.0,inf
complicate,7124,0,2297,1,0.0,inf
cqt,7124,0,2297,1,0.0,inf
overtly,7124,0,2296,2,0.0,inf
graduated,7124,0,2297,1,0.0,inf
wec,7124,0,2297,1,0.0,inf
fvs,7124,0,2297,1,0.0,inf
fvss,7124,0,2297,1,0.0,inf
cryptographically,7124,0,2297,1,0.0,inf
fce,7124,0,2297,1,0.0,inf
