feature,count0@False,count1@False,count0@True,count1@True
genetic,7061,63,2298,0
asr,7077,47,2298,0
shafer,7085,39,2298,0
epistemic,7088,36,2298,0
diagram,7088,36,2298,0
outline,7089,35,2298,0
scientists,7092,32,2298,0
infrastructure,7093,31,2298,0
refinement,7094,30,2298,0
reactive,7094,30,2298,0
dempster,7094,30,2298,0
evolved,7095,29,2298,0
retrieve,7096,28,2298,0
volumes,7096,28,2298,0
automation,7096,28,2298,0
analysing,7096,28,2298,0
researches,7096,28,2298,0
travel,7097,27,2298,0
swarm,7097,27,2298,0
ontological,7098,26,2298,0
timely,7098,26,2298,0
hindi,7099,25,2298,0
malware,7099,25,2298,0
driver,7100,24,2298,0
descriptors,7100,24,2298,0
clause,7101,23,2298,0
quick,7101,23,2298,0
automate,7101,23,2298,0
technological,7101,23,2298,0
behaviours,7102,22,2298,0
rough,7102,22,2298,0
imprecise,7102,22,2298,0
cooperation,7102,22,2298,0
metaheuristic,7102,22,2298,0
script,7103,21,2298,0
mel,7104,20,2298,0
fitness,7104,20,2298,0
cyber,7104,20,2298,0
reviewed,7104,20,2298,0
atoms,7105,19,2298,0
remote,7105,19,2298,0
possibilistic,7105,19,2298,0
file,7105,19,2298,0
managed,7105,19,2298,0
happen,7105,19,2298,0
median,7105,19,2298,0
european,7105,19,2298,0
functionalities,7105,19,2298,0
cars,7105,19,2298,0
submission,7105,19,2298,0
45,7105,19,2298,0
commands,7106,18,2298,0
beings,7106,18,2298,0
circumstances,7106,18,2298,0
shaped,7106,18,2298,0
ids,7106,18,2298,0
aided,7106,18,2298,0
anomalous,7107,17,2298,0
pronunciation,7107,17,2298,0
java,7107,17,2298,0
ranges,7107,17,2298,0
evidential,7107,17,2298,0
command,7107,17,2298,0
optimizations,7107,17,2298,0
gesture,7107,17,2298,0
conflicting,7107,17,2298,0
abductive,7107,17,2298,0
philosophy,7107,17,2298,0
39,7108,16,2298,0
postulates,7108,16,2298,0
cellular,7108,16,2298,0
colony,7108,16,2298,0
outlined,7108,16,2298,0
clique,7108,16,2298,0
analysed,7108,16,2298,0
countries,7108,16,2298,0
late,7108,16,2298,0
century,7108,16,2298,0
institutions,7108,16,2298,0
