feature,count0@False,count1@False,count0@True,count1@True,PresenceTrue,PresenceFalse,AbsenceTrue,AbsenceFalse
svrg,7123,1.0,2289,9.0,9.0,0.1111111111111111,0.3213533623473256,3.1118392311052863
langevin,7123,1.0,2289,9.0,9.0,0.1111111111111111,0.3213533623473256,3.1118392311052863
penalized,7123,1.0,2289,9.0,9.0,0.1111111111111111,0.3213533623473256,3.1118392311052863
identifiability,7123,1.0,2290,8.0,8.0,0.125,0.32149375263231783,3.110480349344978
nonconvex,7122,2.0,2283,15.0,7.5,0.13333333333333333,0.3205560235888795,3.1195795006570304
dpp,7123,1.0,2291,7.0,7.0,0.14285714285714285,0.32163414291731013,3.1091226538629417
sdca,7123,1.0,2291,7.0,7.0,0.14285714285714285,0.32163414291731013,3.1091226538629417
iterate,7123,1.0,2292,6.0,6.0,0.16666666666666666,0.3217745332023024,3.107766143106457
nonsmooth,7123,1.0,2292,6.0,6.0,0.16666666666666666,0.3217745332023024,3.107766143106457
relus,7123,1.0,2293,5.0,5.0,0.2,0.32191492348729467,3.1064108155255123
hawkes,7123,1.0,2293,5.0,5.0,0.2,0.32191492348729467,3.1064108155255123
collapsing,7123,1.0,2293,5.0,5.0,0.2,0.32191492348729467,3.1064108155255123
dpps,7123,1.0,2293,5.0,5.0,0.2,0.32191492348729467,3.1064108155255123
uncorrelated,7123,1.0,2293,5.0,5.0,0.2,0.32191492348729467,3.1064108155255123
distantly,7123,1.0,2293,5.0,5.0,0.2,0.32191492348729467,3.1064108155255123
determinant,7123,1.0,2293,5.0,5.0,0.2,0.32191492348729467,3.1064108155255123
bernstein,7123,1.0,2293,5.0,5.0,0.2,0.32191492348729467,3.1064108155255123
samplers,7122,2.0,2289,9.0,4.5,0.2222222222222222,0.3213984835720303,3.111402359108781
bitext,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
copula,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
eigendecomposition,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
eases,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
polylog,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
doubling,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
asymmetries,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
factorizations,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
warm,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
chebyshev,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
adagrad,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
hdp,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
mips,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
hinton,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
gauss,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
jump,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
neurally,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
wolfe,7121,3.0,2286,12.0,4.0,0.25,0.3210223283246735,3.115048118985127
optimism,7122,2.0,2290,8.0,4.0,0.25,0.3215388935692221,3.110043668122271
occam,7123,1.0,2294,4.0,4.0,0.25,0.32205531377228697,3.105056669572799
frank,7121,3.0,2287,11.0,3.6666666666666665,0.2727272727272727,0.3211627580396012,3.1136860515959772
polytope,7122,2.0,2291,7.0,3.5,0.2857142857142857,0.32167930356641394,3.1086861632474903
eigenvectors,7122,2.0,2291,7.0,3.5,0.2857142857142857,0.32167930356641394,3.1086861632474903
corruptions,7122,2.0,2291,7.0,3.5,0.2857142857142857,0.32167930356641394,3.1086861632474903
hastings,7122,2.0,2291,7.0,3.5,0.2857142857142857,0.32167930356641394,3.1086861632474903
ising,7122,2.0,2291,7.0,3.5,0.2857142857142857,0.32167930356641394,3.1086861632474903
degeneracy,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
reranking,7121,3.0,2289,9.0,3.0,0.3333333333333333,0.32144361746945654,3.110965487112276
centering,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
amortized,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
bm,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
ridge,7121,3.0,2289,9.0,3.0,0.3333333333333333,0.32144361746945654,3.110965487112276
calibrating,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
taylor,7122,2.0,2292,6.0,3.0,0.3333333333333333,0.3218197135636057,3.107329842931937
exemplar,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
europarl,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
commonplace,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
omniglot,7122,2.0,2292,6.0,3.0,0.3333333333333333,0.3218197135636057,3.107329842931937
4d,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
mathrm,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
cumulant,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
emission,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
obviates,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
spearman,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
timestep,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
tightest,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
thresholded,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
substructure,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
isometry,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
annealed,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
skene,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
leaks,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
hankel,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
hypernyms,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
gracefully,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
hmc,7123,1.0,2295,3.0,3.0,0.3333333333333333,0.3221957040572792,3.1037037037037036
