feature,count0@False,count1@False,count0@True,count1@True,PresenceTrue,PresenceFalse,AbsenceTrue,AbsenceFalse
constituency,7124,0.001,2286,12.0,12000.0,8.333333333333333e-05,0.3208871420550253,3.1163604549431323
subgradient,7124,0.001,2291,7.0,7000.0,0.00014285714285714287,0.32158899494665916,3.1095591444783937
saga,7124,0.001,2292,6.0,6000.0,0.00016666666666666666,0.321729365524986,3.108202443280977
sag,7124,0.001,2293,5.0,5000.0,0.0002,0.32186973610331276,3.106846925425207
regularizations,7124,0.001,2293,5.0,5000.0,0.0002,0.32186973610331276,3.106846925425207
rescaling,7124,0.001,2294,4.0,4000.0,0.00025,0.32201010668163954,3.105492589363557
luce,7124,0.001,2294,4.0,4000.0,0.00025,0.32201010668163954,3.105492589363557
razor,7124,0.001,2294,4.0,4000.0,0.00025,0.32201010668163954,3.105492589363557
markedly,7124,0.001,2294,4.0,4000.0,0.00025,0.32201010668163954,3.105492589363557
noising,7124,0.001,2294,4.0,4000.0,0.00025,0.32201010668163954,3.105492589363557
arora,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
pu,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
inherited,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
elapsed,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
supermodular,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
psrl,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
cccp,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
terry,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
textsc,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
equivariant,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
polya,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
holographic,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
mujoco,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
dgms,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
dirac,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
rmsprop,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
bradley,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
blockmodel,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
softly,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
maximising,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
mbox,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
losers,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
variates,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
gumbel,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
workhorse,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
exchangeable,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
exchangeability,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
overnight,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
exp3,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
conjugacy,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
ontonotes,7124,0.001,2295,3.0,3000.0,0.0003333333333333333,0.3221504772599663,3.104139433551198
