feature,count0@False,count1@False,count0@True,count1@True,PresenceTrue,PresenceFalse,AbsenceTrue,AbsenceFalse
max_,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
notebook,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
massart,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
maximizer,7123,1.0,2296,2.0,2.0,0.5,0.3223360943422715,3.1023519163763065
normalizations,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
normals,7123,1.0,2296,2.0,2.0,0.5,0.3223360943422715,3.1023519163763065
maxmin,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
nonstationarity,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
mastery,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
novelties,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
mathit,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
obviating,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
lvq,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
lpm,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
oldest,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
lowdimensional,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
lowering,7123,1.0,2296,2.0,2.0,0.5,0.3223360943422715,3.1023519163763065
oful,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
lts,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
lsun,7123,1.0,2296,2.0,2.0,0.5,0.3223360943422715,3.1023519163763065
mapd,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
marathon,7123,1.0,2297,1.0,1.0,1.0,0.3224764846272638,3.1010013060513715
